# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
a 	阿	c=91 d=3.02484 t=31110
a a 	啊啊	c=1 d=1 t=3504
a chun 	阿春	c=1 d=1 t=30724
a lang 	啊郎	c=2 d=1 t=21143
a li 	阿里	c=1 d=1 t=26414
a mi 	阿弥	c=0 d=0.1 t=30269
a mi tuo fo 	阿弥坨佛	c=1 d=1 t=30270
a yi 	阿姨	c=0 d=0.000755912 t=31502
ai 	哎	c=5 d=1.65807 t=11064
ai 	唉	c=4 d=2.61878 t=6518
ai 	爱	c=18 d=1 t=15210
ai de 	爱的	c=1 d=1 t=30789
ai fu 	爱抚	c=1 d=0.744532 t=31502
ai n 	爱嗯	c=1 d=1 t=25160
ai yo 	哎哟	c=0 d=0.1 t=9648
ai yo yo 	哎哟哟	c=1 d=1 t=9649
an 	俺	c=5 d=1.14739 t=26613
an 	安	c=2 d=1 t=29329
an 	按	c=25 d=0.50409 t=31502
an 	案	c=7 d=0.678809 t=31502
an ding 	安定	c=0 d=0.1 t=25580
an fang 	安防	c=0 d=0.1 t=25580
an fang an ding fang an 	安防安定方案	c=1 d=1 t=25581
an gu 	按股	c=3 d=0.257237 t=14943
an gu la ren 	按股拉人	c=1 d=1 t=14944
an hei 	暗黑	c=1 d=1 t=10119
an jian 	按键	c=2 d=1.66034 t=132
an jian 	案件	c=1 d=0.0132999 t=31502
an jing 	安静	c=1 d=1 t=24342
an li 	安利	c=1 d=1 t=27628
an li 	按理	c=3 d=1 t=12204
an mo 	按摩	c=2 d=1.01036 t=18123
an niu 	按钮	c=8 d=1 t=30206
an pai 	安排	c=4 d=1 t=27992
an quan 	安全	c=10 d=0.145525 t=31502
an sheng 	安生	c=1 d=1 t=11156
an shi 	暗示	c=0 d=0.1 t=3941
an shi fang 	暗示房	c=1 d=1 t=3942
an zhao 	按照	c=1 d=1 t=25383
an zhi 	安置	c=2 d=1.99005 t=3945
an zhuang 	安装	c=6 d=0.00299743 t=31502
ao men 	澳门	c=3 d=2.58346 t=10873
ao ye 	熬夜	c=1 d=1 t=9625
ba 	吧	c=200 d=1.12415 t=31502
ba 	扒	c=1 d=1 t=18263
ba 	把	c=70 d=0.0636114 t=31502
ba 	爸	c=3 d=0.024234 t=31502
ba 	霸	c=1 d=1 t=24512
ba ba 	巴巴	c=1 d=1 t=30179
ba ba 	爸爸	c=5 d=1 t=22882
ba la 	扒拉	c=1 d=1 t=25166
ba ma 	爸妈	c=2 d=1 t=16384
ba nian 	八年	c=2 d=1.96561 t=4022
ba shi 	八十	c=1 d=0.390628 t=31502
ba shi 	巴是	c=1 d=1 t=27685
ba wo 	把握	c=1 d=1 t=2629
ba xi 	巴西	c=3 d=1 t=25721
ba xian 	八仙	c=0 d=0.1 t=4006
ba xian guo hai 	八仙过海	c=1 d=1 t=4007
ba zi 	八字	c=1 d=1 t=16337
bai 	白	c=5 d=1.0189 t=18900
bai du 	百度	c=1 d=1 t=21014
bai e 	白额	c=1 d=1 t=11043
bai li 	百里	c=1 d=1 t=452
bai ming 	摆明	c=1 d=1 t=29625
bai ming dan 	白名单	c=1 d=1 t=18090
bai se 	白色	c=3 d=1 t=29441
bai shi 	拜师	c=1 d=1 t=9239
bai tan 	摆摊	c=1 d=1 t=17422
bai tian 	白天	c=2 d=1.86936 t=9698
bai wan 	百万	c=2 d=1.9802 t=20036
ban 	办	c=6 d=1 t=25519
ban 	半	c=12 d=0.641593 t=31502
ban 	搬	c=3 d=1 t=21213
ban 	板	c=9 d=1.32895 t=31167
ban 	版	c=12 d=1 t=30493
ban 	班	c=11 d=2.56809 t=20545
ban ben 	版本	c=26 d=0.230754 t=31502
ban fa 	办法	c=5 d=1 t=19937
ban ge 	半个	c=0 d=0.1 t=9419
ban ge n 	半个嗯	c=1 d=1 t=9420
ban gong 	办公	c=1 d=1 t=15907
ban gong shi 	办公室	c=2 d=0.00900478 t=31502
ban hao 	办好	c=1 d=1 t=12118
ban jia 	搬家	c=3 d=2.90722 t=21218
ban m 	半呒	c=1 d=1 t=25228
ban n 	班嗯	c=1 d=1 t=25149
ban nian 	半年	c=7 d=1.66741 t=25150
ban niao 	板鸟	c=1 d=1 t=24846
ban qian 	搬迁	c=1 d=1 t=21292
ban shi 	办事	c=1 d=1 t=12162
ban tian 	半天	c=4 d=1.12185 t=23821
ban xiao shi 	半小时	c=1 d=1 t=20680
bang 	帮	c=16 d=1.08926 t=26515
bang 	棒	c=2 d=1 t=28879
bang ding 	绑定	c=4 d=1 t=21852
bang ka 	绑卡	c=1 d=1 t=28709
bang m 	帮呒	c=1 d=1 t=11070
bang mang 	帮忙	c=11 d=1 t=26175
bang mang bu 	帮忙不	c=1 d=1 t=22154
bang mang kan 	帮忙看	c=1 d=1 t=22079
bang zhu 	帮助	c=1 d=1 t=15813
bao 	保	c=1 d=1 t=14526
bao 	包	c=19 d=1.00006 t=31260
bao 	报	c=22 d=1 t=28818
bao an 	保安	c=1 d=1 t=27049
bao an 	宝安	c=1 d=1 t=27051
bao biao 	报表	c=1 d=1 t=2707
bao chu 	爆出	c=1 d=1 t=17473
bao cu 	保粗	c=1 d=1 t=23420
bao cun 	保存	c=7 d=1 t=17474
bao cuo 	报错	c=18 d=1 t=26709
bao da 	报答	c=1 d=1 t=4517
bao dao 	报道	c=1 d=1 t=3674
bao den 	包扽	c=1 d=1 t=3675
bao han 	包含	c=3 d=1.00003 t=12387
bao hu 	保护	c=2 d=1.99005 t=27251
bao ji 	暴击	c=1 d=1 t=22206
bao jing 	报警	c=1 d=1 t=12385
bao kao 	报考	c=1 d=1 t=8926
bao li 	暴力	c=1 d=1 t=18898
bao lu 	暴露	c=4 d=1 t=28800
bao ming 	报名	c=2 d=1.00001 t=11807
bao rong 	包容	c=1 d=1 t=26322
bao xian 	保险	c=11 d=1 t=30139
bao yue 	包月	c=1 d=1 t=14528
bao zheng 	保证	c=1 d=1 t=17187
bao zhong 	保重	c=3 d=1 t=26955
bei 	呗	c=5 d=1 t=29170
bei 	备	c=1 d=1 t=24945
bei 	杯	c=1 d=1 t=28115
bei 	背	c=3 d=1.6324 t=18697
bei 	被	c=22 d=0.106459 t=31502
bei an 	备案	c=1 d=1 t=9587
bei chou 	杯筹	c=1 d=1 t=28125
bei fen 	备份	c=3 d=1 t=21927
bei gao 	备稿	c=1 d=0.00802655 t=31502
bei guai 	被拐	c=1 d=0.0122773 t=31502
bei jing 	北京	c=1 d=1 t=17683
bei jing 	背景	c=4 d=1.23812 t=14850
bei ju 	悲剧	c=1 d=1 t=16666
bei yong 	备用	c=1 d=1 t=24944
bei zi 	杯子	c=2 d=1.92774 t=28141
ben 	奔	c=1 d=1 t=104
ben 	本	c=8 d=1 t=28343
ben ci 	本次	c=1 d=1 t=13801
ben di 	本地	c=17 d=1 t=31265
ben ke 	本科	c=1 d=1 t=8515
ben lai 	本来	c=8 d=1 t=31178
ben zhi 	本质	c=1 d=1 t=24413
ben zhou 	本周	c=6 d=1 t=28295
beng 	蹦	c=1 d=1 t=16559
bi 	必	c=2 d=1 t=4870
bi 	比	c=11 d=0.701188 t=31502
bi 	逼	c=1 d=1 t=5744
bi 	闭	c=1 d=1 t=7798
bi bao 	必报	c=1 d=1 t=7797
bi fa 	笔法	c=1 d=0.100259 t=31502
bi fu 	必福	c=6 d=1 t=25677
bi hui 	笔灰	c=1 d=0.0672055 t=31502
bi jiao 	比较	c=30 d=0.0120728 t=31502
bi jing 	毕竟	c=1 d=1 t=19927
bi li 	比例	c=2 d=1.82696 t=30580
bi mian 	避免	c=2 d=1 t=17301
bi rang 	避让	c=1 d=1 t=27025
bi ru 	比如	c=2 d=1 t=22540
bi tian 	必填	c=1 d=1 t=26239
bi xu 	必须	c=4 d=1.01751 t=29414
bi yao 	必要	c=7 d=1 t=23411
bi ye 	毕业	c=3 d=1 t=11814
bi ye zheng 	毕业证	c=2 d=1 t=13576
bi zhe 	比这	c=1 d=1 t=17993
bi zhi 	壁纸	c=3 d=2.77464 t=10964
bi zhi 	笔直	c=1 d=0.0174224 t=31502
bian 	变	c=5 d=1 t=29670
bian 	编	c=1 d=1 t=9050
bian 	边	c=7 d=1 t=28308
bian cheng 	编程	c=3 d=1.21981 t=24110
bian dan 	编单	c=8 d=1.03633 t=31382
bian dao 	变道	c=1 d=1 t=18791
bian dong 	变动	c=1 d=1 t=30030
bian geng 	变更	c=5 d=1 t=25745
bian hua 	变化	c=1 d=1 t=11000
bian ji 	编辑	c=5 d=1.53166 t=31502
bian ji qi 	编辑器	c=3 d=1.56553 t=27635
bian ji qu 	编辑区	c=5 d=2.51865 t=31502
bian jiao 	边角	c=1 d=1 t=520
bian liang 	变量	c=10 d=0.83527 t=31502
bian ma 	编码	c=1 d=1 t=10114
bian min 	便民	c=1 d=0.0352602 t=31502
bian n shi 	变嗯是	c=1 d=1 t=29875
bian pao 	鞭炮	c=1 d=1 t=26668
bian shi 	便是	c=1 d=1 t=29918
bian wei 	变为	c=3 d=1 t=13730
bian xian 	变现	c=1 d=1 t=17528
